#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.     N(*MAD)        Reference
  59   2012/09/02   03:35:15.050   37.7880   140.0010     8.20    0.19  0.6289   25.5137      20120902032413.12
  60   2012/09/02   03:35:32.720   37.7890   139.9980     7.90    0.06  0.6437   25.8009      20120902034301.07
  61   2012/09/02   03:35:41.100   37.7920   140.0030     7.20   -0.04  0.5032   19.9118      20120902034130.37
  62   2012/09/02   03:35:48.580   37.7910   139.9950     8.20    0.14  0.5272   21.5254      20120902034421.21
  63   2012/09/02   03:36:03.640   37.7890   139.9980     7.90    0.07  0.8114   32.5160      20120902034301.07
  64   2012/09/02   03:36:17.770   37.7900   139.9990     8.40    0.89  0.5647   22.5001      20120902034608.85
  65   2012/09/02   03:36:39.820   37.7910   140.0050     7.80    0.64  0.6260   25.9046      20120902033351.61
  66   2012/09/02   03:36:47.070   37.7910   140.0000     8.20   -0.16  0.3712   15.3825      20120902034421.21
  67   2012/09/02   03:36:56.070   37.7840   139.9980     7.90    0.03  0.4714   18.6078      20120902034301.07
  68   2012/09/02   03:37:05.240   37.7890   139.9960     6.30    0.69  0.6260   25.8596      20120902032626.52
  69   2012/09/02   03:37:17.700   37.7930   140.0040     8.20    0.59  0.5748   22.7350      20120902034748.15
  70   2012/09/02   03:37:24.940   37.7910   140.0000     7.80    0.51  0.4294   18.1263      20120902033351.61
  71   2012/09/02   03:37:35.100   37.7880   140.0010     8.20    0.79  0.7257   29.4371      20120902032413.12
  72   2012/09/02   03:37:46.710   37.7980   140.0060     8.20    0.32  0.4196   16.7638      20120902032413.12
  73   2012/09/02   03:38:01.080   37.7910   140.0000     8.20    0.32  0.7013   29.0558      20120902034421.21
  74   2012/09/02   03:38:17.190   37.7830   140.0010     8.20    0.32  0.6892   27.5186      20120902033403.83
  75   2012/09/02   03:38:33.520   37.7910   140.0000     8.00    0.09  0.4482   18.5675      20120902034541.57
  76   2012/09/02   03:38:48.580   37.7910   140.0000     8.20   -0.41  0.3647   15.1126      20120902034421.21
  77   2012/09/02   03:39:01.990   37.7870   139.9970     7.40   -0.28  0.3846   15.7717      20120902034343.16
  78   2012/09/02   03:39:13.210   37.7830   140.0010     8.20    0.53  0.6869   27.4272      20120902033403.83
  79   2012/09/02   03:39:20.830   37.7910   140.0000     8.00    0.71  0.6528   27.0255      20120902034541.57
  80   2012/09/02   03:39:33.410   37.7970   140.0030     7.20    0.02  0.4391   17.3336      20120902034130.37
  81   2012/09/02   03:39:56.120   37.7910   140.0050     7.80    0.42  0.5569   23.0473      20120902033351.61
  82   2012/09/02   03:40:10.150   37.7840   139.9980     7.90    0.06  0.5408   21.3408      20120902034301.07
  83   2012/09/02   03:40:17.530   37.7890   139.9980     7.90    0.02  0.3456   13.8669      20120902034301.07
  84   2012/09/02   03:40:28.100   37.7910   139.9990     8.40    0.20  0.5057   20.6517      20120902034823.31
  85   2012/09/02   03:40:37.240   37.7900   139.9980     7.70   -0.33  0.4073   16.2018      20120902034236.82
